Mes,CrencaMedia
0,0.1364336140040077
1,0.18053435007963486
2,0.23062228719567415
3,0.28229249480125557
4,0.3313032707919539
5,0.37672422509579445
6,0.4181441744508909
7,0.45636455428622386
8,0.49089946447666427
9,0.5217721372453813
10,0.5500103066421503
11,0.5760657419440697
12,0.5997895212659561
13,0.6224380837978636
14,0.643483494484007
15,0.6631971047965713
16,0.6815991418673834
17,0.6985287362544739
18,0.7144695313212946
19,0.7295635588319719
20,0.7438179864062828
21,0.7572308778629253
22,0.7700727446973388
23,0.7821944266524059
24,0.7937652104024931
25,0.8046886723259531
26,0.8148751941795913
27,0.8247926968321971
28,0.8340877241270518
29,0.8430527167192912
30,0.8515337333572698
31,0.8594348733597575
32,0.8671938254376897
33,0.8744932694026313
34,0.8814645043122077
35,0.8880483529156606
36,0.8942420972913069
37,0.9003337718575176
38,0.9058594100926975
39,0.91133262900463
40,0.9164326378722546
41,0.9211852585655111
42,0.9257370373278998
43,0.9300618531007075
44,0.9341361928108854
45,0.9381328537883528
46,0.9417801281651962
47,0.9453495777124674
48,0.9487583825751108
49,0.9520229384653157
50,0.9550673971843491
51,0.9579393194965924
52,0.9606797142422789
53,0.9632860430234296
54,0.9657282931406488
55,0.9680218478292918
56,0.9701517285061122
57,0.9721481167419821
58,0.9740293105161322
59,0.9758128943992677
